Relative Time,Frame Length,Packet Size,Source IP,Source Port,Destination IP,Destination Port,IP Protocol,TTL,TCP Flags,Classification
1714758369.000000,266,266,35.201.103.21,443,10.0.2.15,58428,6,64,0x1800,Benign
1714758369.000000,60,60,35.201.103.21,443,10.0.2.15,58428,6,64,0x1000,Benign
1714758369.000000,60,60,35.201.103.21,443,10.0.2.15,58428,6,64,0x1000,Benign
1714758369.000000,640,640,35.201.103.21,443,10.0.2.15,58428,6,64,0x1800,Benign
1714758369.000000,60,60,35.201.103.21,443,10.0.2.15,58428,6,64,0x1000,Benign
1714758369.000000,266,266,34.98.75.36,443,10.0.2.15,46838,6,64,0x1800,Benign
1714758369.000000,85,85,35.201.103.21,443,10.0.2.15,58428,6,64,0x1800,Benign
1714758369.000000,60,60,34.98.75.36,443,10.0.2.15,46838,6,64,0x1000,Benign
1714758369.000000,60,60,34.98.75.36,443,10.0.2.15,46838,6,64,0x1000,Benign
1714758369.000000,60,60,34.98.75.36,443,10.0.2.15,46838,6,64,0x1000,Benign
1714758369.000000,640,640,34.98.75.36,443,10.0.2.15,46838,6,64,0x1800,Benign
1714758369.000000,85,85,34.98.75.36,443,10.0.2.15,46838,6,64,0x1800,Benign
1714758369.000000,60,60,34.98.75.36,443,10.0.2.15,46838,6,64,0x1000,Benign
1714758369.000000,207,207,34.98.75.36,443,10.0.2.15,46838,6,64,0x1800,Benign
1714758369.000000,219,219,34.98.75.36,443,10.0.2.15,46838,6,64,0x1800,Benign
1714758369.000000,60,60,34.98.75.36,443,10.0.2.15,46838,6,64,0x1000,Benign
1714758370.000000,60,60,34.160.144.191,443,10.0.2.15,49736,6,64,0x1200,Benign
1714758370.000000,60,60,34.160.144.191,443,10.0.2.15,49736,6,64,0x1000,Benign
1714758370.000000,266,266,34.160.144.191,443,10.0.2.15,49736,6,64,0x1800,Benign
1714758370.000000,60,60,34.160.144.191,443,10.0.2.15,49736,6,64,0x1000,Benign
1714758370.000000,640,640,34.160.144.191,443,10.0.2.15,49736,6,64,0x1800,Benign
1714758370.000000,60,60,34.160.144.191,443,10.0.2.15,49736,6,64,0x1000,Benign
1714758370.000000,60,60,34.160.144.191,443,10.0.2.15,49736,6,64,0x1000,Benign
1714758370.000000,85,85,34.160.144.191,443,10.0.2.15,49736,6,64,0x1800,Benign
1714758370.000000,60,60,34.160.144.191,443,10.0.2.15,49736,6,64,0x1000,Benign
1714758370.000000,380,380,34.160.144.191,443,10.0.2.15,49736,6,64,0x1800,Benign
1714758370.000000,5517,5517,34.160.144.191,443,10.0.2.15,49736,6,64,0x1800,Large Packet Size, Likely Suspicious
1714758370.000000,60,60,34.160.144.191,443,10.0.2.15,49736,6,64,0x1000,Benign
1714758370.000000,60,60,34.160.90.233,443,10.0.2.15,56134,6,64,0x1000,Benign
1714758370.000000,60,60,65.9.112.15,443,10.0.2.15,33520,6,64,0x1000,Benign
1714758370.000000,60,60,34.160.90.233,443,10.0.2.15,56134,6,64,0x1000,Benign
1714758370.000000,60,60,34.160.90.233,443,10.0.2.15,56134,6,64,0x1100,Benign
1714758370.000000,60,60,34.160.90.233,443,10.0.2.15,56134,6,64,0x1000,Benign
1714758370.000000,60,60,65.9.112.15,443,10.0.2.15,33520,6,64,0x1000,Benign
1714758370.000000,60,60,65.9.112.15,443,10.0.2.15,33520,6,64,0x1000,Benign
1714758370.000000,60,60,65.9.112.15,443,10.0.2.15,33520,6,64,0x1100,Benign
1714758371.000000,60,60,35.244.181.201,443,10.0.2.15,38658,6,64,0x1000,Benign
1714758371.000000,60,60,35.244.181.201,443,10.0.2.15,38658,6,64,0x1000,Benign
1714758371.000000,60,60,35.244.181.201,443,10.0.2.15,38658,6,64,0x1000,Benign
1714758371.000000,60,60,35.244.181.201,443,10.0.2.15,38658,6,64,0x1100,Benign
1714758378.000000,60,60,34.160.144.191,443,10.0.2.15,40786,6,64,0x1000,Benign
1714758378.000000,60,60,34.149.100.209,443,10.0.2.15,38372,6,64,0x1000,Benign
1714758378.000000,60,60,34.160.144.191,443,10.0.2.15,40786,6,64,0x1000,Benign
1714758378.000000,60,60,34.160.144.191,443,10.0.2.15,40786,6,64,0x1000,Benign
1714758378.000000,60,60,34.149.100.209,443,10.0.2.15,38372,6,64,0x1000,Benign
1714758378.000000,60,60,34.149.100.209,443,10.0.2.15,38372,6,64,0x1000,Benign
1714758378.000000,60,60,34.160.144.191,443,10.0.2.15,40786,6,64,0x1100,Benign
1714758378.000000,60,60,34.149.100.209,443,10.0.2.15,38372,6,64,0x1100,Benign
